Question Number|Question|Choices|Correct Answer|Translation
20|"Ποια είναι η επίσημη γλώσσα που χρησιμοποιείται στις δημόσιες υπηρεσίες της Κύπρου;"|"Α) Αγγλικά, Β) Ελληνικά, Γ) Τουρκικά, Δ) Γαλλικά"|1|"Какой официальный язык используется в государственных службах Кипра? А) Английский, В) Греческий, Г) Турецкий, Д) Французский"
21|"Ποιος είναι ο εθνικός φορέας της τηλεπικοινωνίας στην Κύπρο;"|"Α) CYTA (Εθνική Τηλεπικοινωνιακή Αρχή), Β) Vodafone, Γ) MTN Cyprus, Δ) Primetel"|0|"Кто является национальным оператором связи на Кипре? А) CYTA (Национальное управление телекоммуникаций), В) Vodafone, Г) MTN Cyprus, Д) Primetel"
22|"Ποιος είναι ο κυπριακός οργανισμός που ασχολείται με την ασφάλεια και την υγεία στον εργασιακό χώρο;"|"Α) Υπηρεσία Εργασίας, Β) Υπηρεσία Υγείας, Γ) Υπηρεσία Ασφάλειας και Υγείας στην Εργασία, Δ) Υπηρεσία Κοινωνικών Ασφαλίσεων"|0|"Какая кипрская организация занимается безопасностью и здоровьем на рабочем месте? А) Служба труда, В) Служба здравоохранения, Г) Служба безопасности и здоровья на работе, Д) Служба социального обеспечения"
23|"Ποιος είναι ο εθνικός τραπεζικός οργανισμός της Κύπρου;"|"Α) Τράπεζα Κύπρου, Β) Τράπεζα Πειραιώς, Γ) Ελληνική Εθνική Τράπεζα, Δ) Τράπεζα Πειραιώς Κύπρου"|0|"Какая организация является национальным банком Кипра? А) Банк Кипра, В) Банк Пирея, Г) Греческий национальный банк, Д) Банк Пирея Кипра"
24|"Ποιος είναι ο μεγαλύτερος ποταμός στην Κύπρο;"|"Α) Πεδιαίος Ποταμός, Β) Γεροσκήπου Ποταμός, Γ) Κουρής Ποταμός, Δ) Δίρκος Ποταμός"|0|"Какая самая большая река на Кипре? А) Река Педиос, В) Река Героскипу, Г) Река Курис, Д) Река Диркос"
25|"Ποιος είναι ο ψηλότερος βουνόκορφος της Κύπρου;"|"Α) Όρος Τρόοδος, Β) Όρος Ολύμπος, Γ) Όρος Μαχαιράς, Δ) Όρος Πάρνασσος"|1|"Какая самая высокая гора на Кипре? А) Гора Троодос, В) Гора Олимп, Г) Гора Махерас, Д) Гора Парнас"
26|"Ποια είναι η μεγαλύτερη αλυκή στην Κύπρο;"|"Α) Αλυκή Λάρνακας, Β) Αλυκή Πάφου, Γ) Αλυκή Λευκωσίας, Δ) Αλυκή Αγίας Νάπας"|0|"Какое самое большое соленое озеро на Кипре? А) Соленое озеро Ларнаки, В) Соленое озеро Пафоса, Г) Соленое озеро Никосии, Д) Соленое озеро Айя-Напы"
27|"Ποιος είναι ο διάδοχος του προέδρου Δημήτρη Χριστόφια;"|"Α) Νίκος Αναστασιάδης, Β) Νίκος Ρολόγης, Γ) Ανδρέας Παπανδρέου, Δ) Αλέξης Τσίπρας"|0|"Кто преемник президента Димитриса Христофиаса? А) Никос Анастасиадис, В) Никос Рологис, Г) Андреас Папандреу, Д) Алексис Ципрас"
28|"Πόσα χρόνια διαρκεί η θητεία του προέδρου της Κύπρου;"|"Α) 4 χρόνια, Β) 5 χρόνια, Γ) 6 χρόνια, Δ) 7 χρόνια"|1|"Сколько лет длится срок полномочий президента Кипра? А) 4 года, В) 5 лет, Г) 6 лет, Д) 7 лет"
29|"Ποιος πρόεδρος της Κύπρου υπηρέτησε την περίοδο 2003-2008;"|"Α) Γλαύκος Κληρίδης, Β) Τάσσος Παπαδόπουλος, Γ) Νίκος Αναστασιάδης, Δ) Δημήτρης Χριστόφιας"|1|"Кто был президентом Кипра в период с 2003 по 2008 год? А) Глафкос Клиридис, В) Тассос Пападопулос, Г) Никос Анастасиадис, Д) Димитрис Христофиас"
30|"Πόσα επίπεδα εκπαίδευσης στο σχολείο υπάρχουν στην Κύπρο;"|"Α) Δημοτικό, Γυμνάσιο, Λύκειο, Β) Προσχολική, Αρχηγείο, Πανεπιστήμιο, Γ) Βασική, Δευτεροβάθμια, Τριτοβάθμια, Δ) Αρχαία, Μεσαία, Ανώτατη"|0|"Сколько уровней образования в школах на Кипре? А) Начальная, средняя школа, лицей, В) Дошкольное, высшее, университет, Г) Базовое, среднее, высшее, Д) Древнее, среднее, высшее"
31|"Πόσα χρόνια διαρκεί η υποχρεωτική εκπαίδευση στην Κύπρο;"|"Α) 9 χρόνια, Β) 10 χρόνια, Γ) 6 χρόνια, Δ) 7 χρόνια"|0|"Сколько лет длится обязательное образование на Кипре? А) 9 лет, В) 10 лет, Г) 6 лет, Д) 7 лет"
32|"Ποια προϊόντα τώρα έχουν ΦΠΑ 0;"|"Α) γλυκά, Β) κρέας και λαχανικά, Γ) κρασί, Δ) ούζο"|1|"На какие продукты сейчас действует НДС 0? А) сладости, В) мясо и овощи, Г) вино, Д) узо"
33|"Ποιο είναι το όνομα του κυπριακού κοινοβουλίου;"|"Α) Βουλή της Κύπρου, Β) Κοινοβουλευτική Συνέλευση, Γ) Εθνοσυνέλευση της Κύπρου, Δ) Κυπριακή Κοινοβουλευτική Αρχή"|0|"Каково название кипрского парламента? А) Парламент Кипра, В) Парламентская ассамблея, Г) Национальное собрание Кипра, Д) Кипрский парламентский орган"
34|"Πόσα μέλη απαρτίζουν το κυπριακό κοινοβούλιο;"|"Α) 50 μέλη, Β) 80 μέλη, Γ) 100 μέλη, Δ) 120 μέλη"|1|"Сколько членов в парламенте Кипра? А) 50 членов, В) 80 членов, Г) 100 членов, Д) 120 членов"
35|"Ποιο από τα παρακάτω δεν είναι αρμοδιότητα της κυπριακής Βουλής;"|"Α) Έγκριση νόμων, Β) Ελέγχος της κυβέρνησης, Γ) Προεδρίαση των κοινοβουλευτικών συνεδριάσεων, Δ) Υπογραφή διεθνών συνθηκών"|3|"Что из перечисленного не является обязанностью кипрского парламента? А) Утверждение законов, В) Контроль за правительством, Г) Председательствование на парламентских заседаниях, Д) Подписание международных договоров"
36|"Πόσο διαρκεί η θητεία των μελών της Βουλής;"|"Α) 3 χρόνια, Β) 4 χρόνια, Γ) 5 χρόνια, Δ) 6 χρόνια"|2|"Каков срок полномочий членов парламента? А) 3 года, В) 4 года, Г) 5 лет, Д) 6 лет"
37|"Ποιος είναι ο ανώτατος δικαστής στην Κύπρο;"|"Α) Δικαστήριο, Β) Ανώτατο Δικαστικό Συμβούλιο, Γ) Ανώτατο Δικαστήριο της Κύπρου, Δ) Ανώτατο Δικαστικό Συμβούλιο της Κύπρου"|2|"Кто является верховным судьей на Кипре? А) Суд, В) Верховный судебный совет, Г) Верховный суд Кипра, Д) Верховный судебный совет Кипра"
38|"Ποια είναι η αρμοδιότητα του Ανώτατου Δικαστηρίου της Κύπρου;"|"Α) Αποφάσεις σε ποινικές υποθέσεις, Β) Εκδίκαση διοικητικών διαφορών, Γ) Αποφάσεις σε αστικές διαφορές, Δ) Αναίρεση αποφάσεων των κατώτερων δικαστηρίων"|3|"Какова обязанность Верховного суда Кипра? А) Решение уголовных дел, В) Рассмотрение административных споров, Г) Решение гражданских споров, Д) Отмена решений нижестоящих судов"
39|"Ποια πόλη είναι η πρωτεύουσα της Κύπρου;"|"Α) Λευκωσία, Β) Λεμεσός, Γ) Λάρνακα, Δ) Πάφος"|0|"Какой город является столицей Кипра? А) Никосия, В) Лимасол, Г) Ларнака, Д) Пафос"
40|"Ποιες είναι οι επίσημες γλώσσες της Κύπρου;"|"Α) ελληνική και αγγλική, Β) τουρκική και ελληνική, Γ) Αγγλική, Δ) Ρωσική"|1|"Какие официальные языки на Кипре? А) греческий и английский, В) турецкий и греческий, Г) английский, Д) русский"
41|"Ποια είναι η παραδοσιακή μουσική έκφραση της Κύπρου;"|"Α) Ζέιμπέκικος, Β) Τσιφτετέλι, Γ) Συρτός, Δ) Καλαματιανός"|2|"Какое традиционное музыкальное выражение Кипра? А) Зейбек, В) Чифтетели, Г) Сиртос, Д) Калааматьянос"
42|"Ποιο είναι το παραδοσιακό κρασί της Κύπρου;"|"Α) Κουμανδαρία, Β) Μαυρούδι, Γ) Μαυροτράγουδο, Δ) Μαυροσκούφτικο"|1|"Какое традиционное кипрское вино? А) Командария, В) Мавруди, Г) Мавротрагудо, Д) Мавроскуфтико"
43|"Ποια είναι η παραδοσιακή γαστρονομία της Κύπρου;"|"Α) Κεμεντζές, Β) Σουβλάκι, Γ) Παστίτσιο, Δ) Σούβλα"|3|"Какая традиционная кулинария на Кипре? А) Кемендзес, В) Шашлык, Г) Пастицио, Д) Сувла"
44|"Ποιο είναι το εθνικό ζώο της Κύπρου;"|"Α) Μελανόχρωμη γείτονας, Β) Ανηλιάριος, Γ) Μουφλόν, Δ) Χαράδρα"|2|"Какое национальное животное Кипра? А) Черный сосед, В) Анилиариос, Г) Муфлон, Д) Харадна"
45|"Ποιο είδος θαλάσσιας χελώνας είναι γνωστό ότι αναπαράγεται στις παραλίες της Κύπρου;"|"Α) Χελώνα της Καραϊβικής, Β) Χελώνα του Ατλαντικού, Γ) Χελώνα του Ειρηνικού, Δ) Χελώνα Καρέτα Καρέτα"|3|"Какой вид морской черепахи известно, что размножается на пляжах Кипра? А) Карибская черепаха, В) Атлантическая черепаха, Г) Тихоокеанская черепаха, Д) Черепаха Каретта Каретта"
46|"Ποιο από τα ποιήματα του Βασίλη Μιχαηλίδη είναι ιδιαίτερα γνωστό;"|"Α) «Ο Περίπλους του Ερωτοκρίτου», Β) «Οι Καμένες Πέτρες», Γ) «Ο Πόλεμος», Δ) «Η 9η Ιουλίου του 1821 εν Λευκωσία Κύπρου»"|3|"Какое из стихотворений Василиса Михайлидиса особенно известно? А) «О Перифлусе Эротокрита», В) «Сожженные камни», Г) «Война», Д) «9 июля 1821 года в Никосии, Кипр»"
47|"Ποιος όρος χρησιμοποιείται για να περιγράψει την γραμμή που χωρίζει την Κύπρο σε δύο μέρη;"|"Α) Μαύρη γραμμή, Β) Κόκκινη γραμμή, Γ) Πράσινη γραμμή, Δ) Μπλε γραμμή"|2|"Какой термин используется для описания линии, разделяющей Кипр на две части? А) Черная линия, В) Красная линия, Г) Зеленая линия, Д) Синяя линия"
48|"Ο ολυμπιονίκης στην Κύπρο ήταν;"|"Α) Ο Παύλος Κοντίδης στο λέιζερ της ιστιοπλοΐας, Β) Ο Ιωάννης Ανδρέου στην κολύμβηση, Γ) Ο Αναστάσιος Γαβρίλης στην ιστιοπλοΐα, Δ) Ο Πύρρος Δήμας στην άρση βαρών"|0|"Кто был олимпийским чемпионом на Кипре? А) Павлос Контидис в парусном спорте на лазере, В) Иоаннис Андреу в плавании, Г) Анастасиос Гаврилис в парусном спорте, Д) Пиррос Димас в тяжелой атлетике"
49|"Ποιος οργανισμός είναι υπεύθυνος για τη διαχείριση και την επιτήρηση της Πράσινης Γραμμής;"|"Α) Ηνωμένα Έθνη, Β) Ευρωπαϊκή Ένωση, Γ) Κυπριακή Δημοκρατία, Δ) Τουρκική Δημοκρατία της Βόρειας Κύπρου"|0|"Какая организация отвечает за управление и контроль Зелёной линии? А) Организация Объединенных Наций, В) Европейский Союз, Г) Кипрская Республика, Д) Турецкая Республика Северного Кипра"
50|"Ποιος είναι ο κύριος στόχος της Πράσινης Γραμμής;"|"Α) Η εδαφική διαίρεση της Κύπρου, Β) Η προώθηση του τουρισμού, Γ) Η προστασία του φυσικού περιβάλλοντος, Δ) Η διευκόλυνση της εμπορίας"|0|"Какова основная цель Зелёной линии? А) Территориальное разделение Кипра, В) Продвижение туризма, Г) Защита природной среды, Д) Содействие торговле"
51|"Ποια είναι η εθνική σημαία της Κύπρου;"|"Α) άσπρη όπου προβάλλεται ο χάρτης της Κύπρου σε κίτρινο χρώμα του χαλκού, Β) Λευκή με ένα μπλε σταυρό στο κέντρο, Γ) άσπρη όπου προβάλλεται ο χάρτης της Κύπρου σε κίτρινο χρώμα του χαλκού, κάτω υπάρχουν δύο κλαδιά ελιάς ενωμένα στις άκρες, Δ) Κόκκινη με δύο κλαδιά ελιάς ενωμένα στις άκρες"|2|"Какая национальная флаг Кипра? А) Белый с картой Кипра в желтом цвете меди, В) Белый с синим крестом в центре, Г) Белый с картой Кипра в желтом цвете меди, ниже два соединенных оливковых ветви, Д) Красный с двумя соединенными оливковыми ветвями"
52|"Ποιο χρώμα αντιπροσωπεύει την ειρήνη στην σημαία της Κύπρου;"|"Α) Κόκκινο, Β) Μπλε, Γ) Λευκό, Δ) Πράσινο"|2|"Какой цвет символизирует мир на флаге Кипра? А) Красный, В) Синий, Г) Белый, Д) Зеленый"
53|"Τι συμβολίζουν δύο πράσινα κλαδιά ελιάς της σημαίας της Κύπρου;"|"Α) Την ανεξαρτησία της χώρας, Β) Τη θρησκευτική πίστη των κατοίκων, Γ) Τον πολιτισμό και την πολυμορφία της Κύπρου, Δ) Την ειρήνη μεταξύ όλων των Κυπρίων"|3|"Что символизируют две зеленые оливковые ветви на флаге Кипра? А) Независимость страны, В) Религиозную веру жителей, Г) Культуру и разнообразие Кипра, Д) Мир между всеми киприотами"
54|"Πότε εγκρίθηκε η τρέχουσα σχεδίαση της σημαίας της Κύπρου;"|"Α) Το 1960, Β) Το 1974, Γ) Το 1980, Δ) Το 2006"|0|"Когда был утвержден текущий дизайн флага Кипра? А) В 1960 году, В) В 1974 году, Г) В 1980 году, Д) В 2006 году"
55|"Ποια είναι η κυριότερη θρησκεία στην Κύπρο;"|"Α) Χριστιανισμός, Β) Ισλάμ, Γ) Ιουδαϊσμός, Δ) Βουδισμός"|0|"Какая основная религия на Кипре? А) Христианство, В) Ислам, Г) Иудаизм, Д) Буддизм"
56|"Ποια είναι γνωστή εκκλησία στην Κύπρο;"|"Α) Αγία Άννα, Β) Αγία Λάρνακα, Γ) Αγίου Λαζάρου, Δ) Αγία Μαρώ"|2|"Какая известная церковь на Кипре? А) Святая Анна, В) Святая Ларнака, Г) Святой Лазарь, Д) Святая Маро"
57|"Ποιο είναι το κύριο διεθνές αεροδρόμιο της Κύπρου;"|"Α) Αεροδρόμιο Λάρνακας, Β) Αεροδρόμιο Πάφου, Γ) Αεροδρόμιο Λευκωσίας, Δ) Αεροδρόμιο Αμμοχώστου"|0|"Какой главный международный аэропорт Кипра? А) Аэропорт Ларнаки, В) Аэропорт Пафоса, Г) Аэропорт Никосии, Д) Аэропорт Фамагусты"
58|"Ποια αεροπορική εταιρεία είναι η εθνική αεροπορική εταιρεία της Κύπρου;"|"Α) Cyprus Airways, Β) Aegean Airlines, Γ) Ryanair, Δ) Emirates"|0|"Какая авиакомпания является национальной авиакомпанией Кипра? А) Cyprus Airways, В) Aegean Airlines, Г) Ryanair, Д) Emirates"
59|"Ποιο αεροδρόμιο βρίσκεται πιο κοντά στην πόλη της Λευκωσίας;"|"Α) Αεροδρόμιο Λάρνακας, Β) Αεροδρόμιο Πάφου, Γ) Αεροδρόμιο Λευκωσίας, Δ) Αεροδρόμιο Αμμοχώστου"|0|"Какой аэропорт находится ближе всего к городу Никосия? А) Аэропорт Ларнаки, В) Аэропорт Пафоса, Г) Аэропорт Никосии, Д) Аэропорт Фамагусты"
60|"Ποιο αεροδρόμιο εξυπηρετεί κυρίως τις τουριστικές περιοχές της Πάφου;"|"Α) Αεροδρόμιο Λάρνακας, Β) Αεροδρόμιο Πάφου, Γ) Αεροδρόμιο Λευκωσίας, Δ) Αεροδρόμιο Αμμοχώστου"|1|"Какой аэропорт обслуживает в основном туристические районы Пафоса? А) Аэропорт Ларнаки, В) Аэропорт Пафоса, Г) Аэропорт Никосии, Д) Аэропорт Фамагусты"
61|"Ποιο υπουργείο είναι υπεύθυνο για την Οικονομία στην Κύπρο;"|"Α) Υπουργείο Οικονομίας, Β) Υπουργείο Οικονομικών, Γ) Υπουργείο Εμπορίου, Δ) Υπουργείο Ανάπτυξης"|0|"Какое министерство отвечает за экономику на Кипре? А) Министерство экономики, В) Министерство финансов, Г) Министерство торговли, Д) Министерство развития"
62|"Ποιο υπουργείο είναι υπεύθυνο για την Εκπαίδευση στην Κύπρο;"|"Α) Υπουργείο Παιδείας, Αθλητισμού και Νεολαίας, Β) Υπουργείο Παιδείας, Γ) Υπουργείο Πολιτισμού, Δ) Υπουργείο Παιδείας και Αθλητισμού"|0|"Какое министерство отвечает за образование на Кипре? А) Министерство образования, спорта и молодежи, В) Министерство образования, Г) Министерство культуры, Д) Министерство образования и спорта"
63|"Ποιο υπουργείο είναι υπεύθυνο για την Υγεία στην Κύπρο;"|"Α) Υπουργείο Υγείας, Β) Υπουργείο Κοινωνικών Υπηρεσιών, Γ) Υπουργείο Δημόσιας Υγείας, Δ) Υπουργείο Κοινωνικής Πρόνοιας"|0|"Какое министерство отвечает за здравоохранение на Кипре? А) Министерство здравоохранения, В) Министерство социальных услуг, Г) Министерство общественного здравоохранения, Д) Министерство социальной защиты"
64|"Ποιο υπουργείο είναι υπεύθυνο για την Αμυντική Πολιτική στην Κύπρο;"|"Α) Υπουργείο Εσωτερικών, Β) Υπουργείο Εθνικής Άμυνας, Γ) Υπουργείο Προεδρίας, Δ) Υπουργείο Άμυνας"|3|"Какое министерство отвечает за оборонную политику на Кипре? А) Министерство внутренних дел, В) Министерство национальной обороны, Г) Министерство президентства, Д) Министерство обороны"
65|"Ποιο υπουργείο είναι υπεύθυνο για την έκδοση του διαβατηρίου στην Κύπρο;"|"Α) Υπουργείο Μεταφορών, Β) Υπουργείο Τουρισμού, Γ) Υπουργείο Εργασίας και Κοινωνικών Ασφαλίσεων, Δ) Υπουργείο Εσωτερικών"|3|"Какое министерство отвечает за выдачу паспортов на Кипре? А) Министерство транспорта, В) Министерство туризма, Г) Министерство труда и социального обеспечения, Д) Министерство внутренних дел"
66|"Τα Λεύκαρα είναι γνωστά με _____ που είναι μέρος της Παγκόσμιας Κληρονομίας UNESCO;"|"Α) Το Λευκαριτικό Κάστρο, Β) Τον Αρχαιολογικό Χώρο των Λευκάρων, Γ) Τον Καθεδρικό Ναό των Λευκάρων, Δ) Το Λευκαρίτικο κέντημα"|3|"Лефкара известна _____, которая является частью Всемирного наследия ЮНЕСКО: А) Замок Лефкары, В) Археологическая зона Лефкары, Г) Кафедральный собор Лефкары, Д) Лефкарское кружево"
67|"Ποιος ήταν ο Βασίλης Μιχαηλίδης;"|"Α) Ένας ποιητής από την Κύπρο, Β) Ένας πεζογράφος από την Κύπρο, Γ) Ένας πολιτικός από την Κύπρο, Δ) Ένας μουσικός από την Κύπρο"|0|"Кем был Василис Михайлидис? А) Поэтом из Кипра, В) Прозаиком из Кипра, Г) Политиком из Кипра, Д) Музыкантом из Кипра"
68|"Ποια ήταν η γλώσσα που χρησιμοποίησε ο Βασίλης Μιχαηλίδης στις ποιητικές του συλλογές;"|"Α) Ελληνική και Κυπριακή διάλεκτος, Β) Αγγλική, Γ) Γαλλική, Δ) Τουρκική"|0|"Какой язык использовал Василис Михайлидис в своих поэтических сборниках? А) Греческий и кипрский диалект, В) Английский, Г) Французский, Д) Турецкий"
